sample_id,arch_code,sample_node,MAE
101,"[1, 6, 2, 3, 6, 1]",random,1.2840689420700073
102,"[6, 2, 5, 0, 1, 6]",random,1.3210997581481934
103,"[5, 3, 3, 3, 6, 2]",random,1.3582746982574463
104,"[2, 0, 6, 3, 6, 6]",random,1.4759454727172852
105,"[2, 2, 0, 4, 5, 5]",random,1.63058567
106,"[4, 0, 2, 0, 5, 6]",random,1.315091848373413
107,"[3, 5, 2, 1, 2, 5]",random,1.245709538
108,"[3, 3, 4, 2, 2, 6]",random,1.234702587
109,"[5, 4, 4, 1, 2, 2]",random,1.406869292
110,"[4, 6, 6, 3, 6, 0]",random,1.609204888343811
111,"[0, 4, 6, 5, 6, 2]",random,1.2910404205322266
112,"[3, 3, 3, 3, 3, 1]",random,1.267197608947754
113,"[4, 4, 5, 4, 3, 4]",random,1.6088602542877197
114,"[2, 3, 4, 1, 5, 0]",random,1.3099368810653687
115,"[2, 2, 5, 2, 6, 5]",random,1.512227297
116,"[3, 3, 3, 6, 6, 2]",random,1.2919527292251587
117,"[1, 6, 2, 0, 2, 0]",random,1.281709433
118,"[3, 3, 6, 2, 5, 5]",random,1.342277169
119,"[2, 6, 2, 2, 2, 0]",random,1.4616833925247192
120,"[3, 0, 0, 1, 1, 1]",random,1.239428997
121,"[1, 1, 2, 0, 1, 0]",random,1.23745501
122,"[2, 5, 4, 2, 5, 4]",random,1.4105010032653809
123,"[1, 5, 5, 1, 1, 3]",random,1.27941668
124,"[3, 5, 1, 4, 1, 2]",random,1.225523591041565
125,"[6, 0, 4, 6, 2, 0]",random,1.2299350500106812
126,"[5, 4, 1, 1, 1, 4]",random,1.298828363418579
127,"[0, 5, 0, 2, 0, 0]",random,1.2703443765640259
128,"[1, 1, 4, 1, 5, 1]",random,1.2558943033218384
129,"[4, 3, 6, 3, 2, 2]",random,1.721191764
130,"[3, 5, 3, 5, 5, 6]",random,1.3003932237625122
131,"[6, 5, 6, 4, 0, 5]",random,1.243695855140686
132,"[0, 0, 5, 6, 2, 3]",random,1.2700494527816772
133,"[4, 2, 0, 2, 1, 6]",random,1.3999958038330078
134,"[5, 1, 2, 5, 5, 3]",random,1.3651970624923706
135,"[6, 0, 3, 5, 3, 6]",random,1.3404216766357422
136,"[4, 4, 6, 5, 4, 4]",random,1.3179347515106201
137,"[2, 6, 1, 1, 3, 5]",random,1.4473745822906494
138,"[4, 2, 0, 0, 5, 6]",random,1.399295807
139,"[4, 6, 6, 4, 6, 3]",random,1.348537564277649
140,"[0, 4, 0, 4, 5, 0]",random,1.262233018875122
141,"[5, 2, 0, 4, 5, 2]",random,1.4086096286773682
142,"[3, 4, 1, 1, 5, 0]",random,1.221269965
143,"[5, 4, 6, 5, 0, 3]",random,1.2608343362808228
